0_Der_avg,Blink_Averaged,Time_Average,1_Der_avg,3_Der_avg
-462.7535324,0,52.0748,-435.793337,-114.2932045
-33.94519557,0,52.1243,-74.61484714,-30.43908138
126.8757042,0,52.1739,108.0078317,43.41322921
67.3055734,0,52.2248,84.19704175,26.80649165
-27.63504725,0,52.2729,25.02399403,67.70822921
5.96871126,0,52.3252,36.47295962,53.85789439
21.98468111,0,52.3738,9.704921355,-50.10184941
28.17004625,0,52.4244,34.73236185,-88.56587622
1.28009185,0,52.4752,32.69493004,-53.92151195
-95.67979364,0,52.5234,-111.9973149,-41.24445973
-16.6219721,0,52.5744,-56.99601459,14.37031994
175.9189108,0,52.6252,128.8177733,61.46516348
76.27031421,0,52.6734,76.18338593,-0.995881946
46.15598026,0,52.7244,63.43502208,-51.77139976
141.4205935,0,52.7752,130.3610137,5.090208327
69.06030434,0,52.8234,62.00375061,72.05013088
28.50050132,0,52.8782,40.56302636,43.64188783
9.95211609,0,52.9252,58.86626746,29.92487936
60.85182551,0,52.9734,25.37435298,52.25716138
63.08878723,0,53.0244,-14.94027656,-5.483941678
-89.65051752,0,53.0752,-66.1951897,-23.30222339
32.00076385,0,53.1234,35.54009666,47.36597319
92.82901759,0,53.1744,65.70929226,25.45075564
-82.93288731,0,53.2252,-109.359321,-111.7193773
-72.52082835,0,53.2734,-62.34458529,-68.55127355
-7.447041559,0,53.3243,-26.72078714,-10.81085238
-2.12007692,0,53.3739,-39.60470659,-82.28775808
99.42246739,0,53.4248,64.59285799,-4.279966538
46.47872056,0,53.4777,26.80978982,46.70790053
-113.6595124,0,53.5245,-64.91723608,8.470365418
-24.06021034,0,53.5757,19.81281818,54.40859782
9.444997595,0,53.6242,44.76395968,11.40831955
-55.48637228,0,53.6739,-73.37075373,-15.85050908
7.53929943,0,53.7297,11.15830542,17.18248681
78.8610213,0,53.7776,96.16942028,-6.240678697
191.7216407,0,53.8245,136.4106797,43.18056993
1390.67397,1,53.8748,1257.422114,238.0156166
1477.312209,1,53.926,1383.145303,291.0783606
-755.0649747,0,53.977,-659.5012264,-43.44058556
-1594.588003,0,54.0298,-1474.466262,-292.0542782
-928.8825776,0,54.0741,-842.6585832,-292.9019534
-426.9843961,0,54.1239,-363.8512584,-171.197882
-54.8874214,0,54.1748,-75.22636155,-8.073019865
43.67877467,0,54.2243,29.92414218,34.14511048
-135.0838204,0,54.2772,-85.58997212,-4.575808601
-126.7710211,0,54.3232,-126.3788299,-15.87430927
-8.343894562,0,54.3744,-27.39167577,-7.124874662
141.7237367,0,54.4252,73.08398226,9.824305755
216.7501524,0,54.4734,167.9288577,19.3918948
161.0735515,0,54.5244,111.9652298,35.20576818
92.83312938,0,54.5752,45.95252352,59.43181944
35.54180335,0,54.6234,110.8405682,79.87357086
54.08112475,0,54.6744,69.85371399,36.64552111
-54.62783458,0,54.7252,-56.13194648,-33.82567936
13.2315991,0,54.7774,14.73896531,4.112426143
81.24724864,0,54.8244,82.95931731,-18.82297717
23.03739398,0,54.8752,7.141224475,-44.47255575
34.79782141,0,54.9234,33.68569962,0.370332357
31.84782353,0,54.9744,39.29461765,1.93227451
57.51516299,0,55.0254,25.26586642,-27.86110539
-22.92934682,0,55.0734,-20.08959436,-2.503115196
-21.2059523,0,55.1244,-12.86776907,25.81328211
100.4526944,0,55.1752,104.1713256,-10.25466891
53.20357915,0,55.2234,78.61011458,14.07089703
-86.7007932,0,55.2743,-63.90837729,38.16327917
-54.14880599,0,55.3279,-43.59595283,-24.73796775
16.57972923,0,55.3748,62.92750027,3.977480218
73.07620962,0,55.4243,71.71364235,87.70522222
43.77253799,0,55.4808,33.9811658,72.95491885
-34.58001654,0,55.5227,-26.83631788,44.56103513
-55.38619811,0,55.5743,-98.65312539,-3.291143802
-83.85582436,0,55.6239,-133.7601316,-70.5915646
-125.4679611,0,55.6748,-125.0861506,-149.8446176
-47.65931413,0,55.7243,-45.04183549,-110.1939301
116.353863,0,55.7739,73.94584753,-15.36038314
11.9158743,0,55.8248,41.03074126,-2.697545705
79.39282125,0,55.8765,111.1090058,79.70690529
350.4421521,0,55.9225,342.8564804,88.59827369
387.0990786,0,55.9748,344.6689874,43.59029598
1658.824431,1,56.0243,1600.299797,289.8950745
1074.579496,1,56.0741,1082.917506,260.2367541
-1472.89049,0,56.1248,-1332.665372,-145.5536639
-1700.455963,0,56.1743,-1550.478158,-259.1765747
-855.3760285,0,56.2239,-853.4650051,-173.326482
-295.3248345,0,56.2808,-341.1173252,-130.4293523
15.36883625,0,56.3244,-56.20533058,-18.7862193
156.009844,0,56.3752,169.9186111,74.71552951
584.3831973,0,56.4308,565.0690492,132.0483786
481.4754663,0,56.472,425.9968881,34.8116972
-304.7508834,0,56.5252,-270.1403459,-149.0765428
-332.7921404,0,56.5734,-347.7627997,-124.6662648
-122.4963922,0,56.6244,-123.8566863,-69.88112745
-95.40615017,0,56.6754,-94.01253804,5.336205801
-56.25244111,0,56.7236,-55.38035166,28.14356739
108.3962865,0,56.7794,127.6538057,40.75506918
230.9931467,0,56.8252,196.6863358,46.57708271
129.2022725,0,56.8734,101.335833,18.53626738
66.54531833,0,56.9246,87.66474961,48.8655043
25.80873042,0,56.9752,20.85314898,45.24616638
-5.765021845,0,57.0234,-4.044003702,13.33949553
67.18069522,0,57.0744,85.49122121,5.531077312
85.74438926,0,57.1252,63.72447802,30.33158179
61.52488032,0,57.1734,28.52390387,4.363043691
42.85327753,0,57.2244,43.17271462,13.93689579
-70.71064098,0,57.2741,-60.80813844,32.75852504
-49.30752889,0,57.3248,-58.94232188,-28.50208637
-34.57155079,0,57.3804,-30.64801306,-105.8034584
-69.27215824,0,57.4226,-99.88641013,-154.6766794
8.848036018,0,57.4748,-4.972703014,-46.48963949
34.22289434,0,57.5277,64.00182096,-12.19485121
17.52872704,0,57.5762,39.42140791,19.4704277
78.95619931,0,57.6273,89.45844998,18.94979367
14.111735,0,57.6746,24.14003685,-37.91306809
-12.6455619,0,57.724,-25.71468823,15.56582179
32.89011206,0,57.7748,27.96199022,43.00883514
-52.94496559,0,57.8243,-6.54938337,58.56847057
-1.631780885,0,57.8739,16.30851078,48.27033765
